feature,importance_mean,importance_std
fw_of_per100w,0.05441176470588231,0.027156154871499086
std_sentence_len_words,0.03676470588235291,0.013558153613666015
punct_41_per100w,0.026470588235294114,0.017149858514250885
avg_sentence_len_words,0.024999999999999977,0.018659672853602257
punct_40_per100w,0.022058823529411752,0.016441676305145505
fw_this_per100w,0.019117647058823517,0.014779228854589542
type_count,0.017647058823529394,0.01100487466698219
word_count,0.014705882352941147,0.009300816647554059
fw_in_per100w,0.014705882352941147,0.009300816647554059
fw_not_per100w,0.014705882352941124,0.0
fw_but_per100w,0.014705882352941124,0.0
avg_word_len,0.013235294117647022,0.015353391924868455
fw_into_per100w,0.013235294117647022,0.007919360010491911
fw_to_per100w,0.011764705882352922,0.021613144789263353
fw_that_per100w,0.0117647058823529,0.014408763192842216
fw_from_per100w,0.010294117647058787,0.0067390819043468
fw_through_per100w,0.010294117647058787,0.0067390819043468
fw_the_per100w,0.008823529411764697,0.011764705882352938
fw_are_per100w,0.007352941176470573,0.009865005783087298
fw_on_per100w,0.007352941176470562,0.007352941176470562
sentence_count,0.00588235294117645,0.007204381596421087
fw_a_per100w,0.0044117647058823485,0.009416359172695362
fw_as_per100w,0.004411764705882337,0.0067390819043468
hapax_ratio,0.004411764705882337,0.0067390819043468
fw_and_per100w,0.004411764705882337,0.0067390819043468
fw_while_per100w,0.004411764705882337,0.0067390819043468
punct_44_per100w,0.002941176470588225,0.00588235294117645
fw_for_per100w,0.002941176470588225,0.00588235294117645
fw_is_per100w,0.002941176470588225,0.00588235294117645
fw_or_per100w,0.002941176470588225,0.00588235294117645
fw_about_per100w,0.0014705882352941124,0.004411764705882337
fw_there_per100w,0.0,0.0
punct_59_per100w,0.0,0.0
fw_without_per100w,0.0,0.0
fw_if_per100w,0.0,0.0
fw_because_per100w,0.0,0.0
fw_an_per100w,0.0,0.0
punct_33_per100w,0.0,0.0
punct_63_per100w,0.0,0.0
punct_34_per100w,0.0,0.0
punct_45_per100w,0.0,0.0
fw_may_per100w,0.0,0.0
fw_between_per100w,0.0,0.0
fw_with_per100w,0.0,0.0
fw_at_per100w,0.0,0.0
fw_by_per100w,0.0,0.0
fw_were_per100w,0.0,0.0
fw_among_per100w,0.0,0.0
fw_be_per100w,0.0,0.0
fw_being_per100w,0.0,0.0
fw_been_per100w,0.0,0.0
fw_these_per100w,0.0,0.0
fw_those_per100w,0.0,0.0
fw_it_per100w,0.0,0.0
fw_its_per100w,0.0,0.0
fw_their_per100w,0.0,0.0
fw_was_per100w,0.0,0.0
fw_would_per100w,0.0,0.0
fw_which_per100w,0.0,0.0
fw_whom_per100w,0.0,0.0
fw_who_per100w,0.0,0.0
fw_whose_per100w,0.0,0.0
fw_no_per100w,0.0,0.0
fw_can_per100w,0.0,0.0
fw_could_per100w,0.0,0.0
citation_year_per100w,0.0,0.0
fw_might_per100w,0.0,0.0
fw_must_per100w,0.0,0.0
fw_should_per100w,0.0,0.0
et_al_per100w,0.0,0.0
hedge_per100w,0.0,0.0
punct_58_per100w,-1.1102230246251566e-17,0.006576670522058206
type_token_ratio,-0.0029411764705882582,0.00882352941176472
