feature,mean_abs_shap
avg_sentence_len_words,0.05495821552181532
std_sentence_len_words,0.0502964147681471
avg_word_len,0.03545939109548675
fw_of_per100w,0.028981174716027368
punct_41_per100w,0.02476889895603144
fw_this_per100w,0.02458462055083322
type_token_ratio,0.024456974600385522
fw_to_per100w,0.02287510454971821
sentence_count,0.020341923348420925
punct_40_per100w,0.019998839818988447
fw_the_per100w,0.019095569268239493
word_count,0.013398798075580805
fw_that_per100w,0.012533703728279387
punct_58_per100w,0.010178500109713391
type_count,0.009606909688604323
hapax_ratio,0.009541663910380216
fw_are_per100w,0.009488381928202018
fw_through_per100w,0.007895278084514698
fw_an_per100w,0.007027400765124611
fw_in_per100w,0.005840567944073125
fw_by_per100w,0.005688039730310226
fw_and_per100w,0.005524420179302407
fw_on_per100w,0.004753098601162796
fw_a_per100w,0.004748063206999039
fw_for_per100w,0.004632110371556395
fw_with_per100w,0.004524704628696226
fw_from_per100w,0.00447919419215239
fw_is_per100w,0.00416259806168084
fw_can_per100w,0.004013847484837403
punct_44_per100w,0.003675343130881256
fw_it_per100w,0.003628435242725668
punct_45_per100w,0.003606560411776692
fw_these_per100w,0.0033504126180233427
fw_was_per100w,0.0033207335251922163
fw_between_per100w,0.0030628976856602323
fw_or_per100w,0.0029634611943325697
fw_as_per100w,0.002931955039120189
fw_its_per100w,0.002795126631417161
fw_while_per100w,0.002451316017198045
fw_were_per100w,0.002162520747888013
fw_not_per100w,0.0020308252867835825
fw_into_per100w,0.0014434126599614627
fw_be_per100w,0.0011621576995925512
fw_but_per100w,0.00102835980432281
fw_which_per100w,0.001006141751532696
fw_been_per100w,0.0009381963947902123
fw_at_per100w,0.0009354623275144325
fw_among_per100w,0.0008631252038073866
fw_being_per100w,0.0008030403744023503
hedge_per100w,0.0006873266312574347
fw_their_per100w,0.000627290180321291
punct_59_per100w,0.0006253888544496262
fw_who_per100w,0.0006191132380577256
fw_about_per100w,0.0005984723119781847
fw_there_per100w,0.0005119045934977148
fw_must_per100w,0.0003913558962029586
fw_no_per100w,0.00036766580815094545
fw_should_per100w,0.0003413361660008756
fw_if_per100w,0.0002511383596938969
fw_those_per100w,0.00024233375299187638
fw_without_per100w,0.00023647301457657317
fw_may_per100w,0.00020843434053879306
fw_because_per100w,0.00017420043740441234
fw_could_per100w,0.00015252119938408574
fw_would_per100w,0.00013596352566464144
punct_34_per100w,8.754253040210145e-05
punct_63_per100w,0.0
punct_33_per100w,0.0
fw_whose_per100w,0.0
fw_whom_per100w,0.0
fw_might_per100w,0.0
citation_year_per100w,0.0
et_al_per100w,0.0
