target_model,feature_set,feature_label,estimator,estimator_label,accuracy,f1,roc_auc,mcc
gemma-2-9b-it,lexical,Lexical,logreg,Logistic Regression,0.6875,0.6888888255554922,0.786125,0.37855530064945037
gemma-2-9b-it,lexical,Lexical,random_forest,Random Forest,0.6925,0.707251760759911,0.7600625,0.3890249318327167
gemma-2-9b-it,syntactic,Syntactic,logreg,Logistic Regression,0.8175000000000001,0.8195440941373798,0.9095000000000001,0.6434962934764957
gemma-2-9b-it,syntactic,Syntactic,random_forest,Random Forest,0.8225,0.820192633797683,0.9165625000000001,0.6465023210903131
gemma-2-9b-it,combined,Combined,logreg,Logistic Regression,0.8099999999999999,0.8118040158800438,0.91875,0.6279488714299681
gemma-2-9b-it,combined,Combined,random_forest,Random Forest,0.8400000000000001,0.8384505789569081,0.9249375000000001,0.6814290777418315
gemma-2-9b-it,writeprints,Writeprints,logreg,Logistic Regression,0.7025,0.7064769298979826,0.788875,0.41126239102659234
gemma-2-9b-it,writeprints,Writeprints,random_forest,Random Forest,0.7175,0.7126800281970337,0.8364375,0.4456095336610552
gemma-2-9b-it,stylometrix,Stylometrix,logreg,Logistic Regression,0.79,0.8037446737189529,0.843875,0.5872404355303185
gemma-2-9b-it,stylometrix,Stylometrix,random_forest,Random Forest,0.705,0.6999869056632002,0.7788125,0.41238131147813756
gemma-2-9b-it,stanza,Stanza,logreg,Logistic Regression,0.63,0.6157330175402465,0.658625,0.26250970658782724
gemma-2-9b-it,stanza,Stanza,random_forest,Random Forest,0.6125,0.6138513127791521,0.645125,0.22603605527485615
llama-3.1-8b-instruct,lexical,Lexical,logreg,Logistic Regression,0.65,0.6497671951789599,0.708375,0.3036516585127495
llama-3.1-8b-instruct,lexical,Lexical,random_forest,Random Forest,0.6625,0.6733071747262287,0.733625,0.3291967190660789
llama-3.1-8b-instruct,syntactic,Syntactic,logreg,Logistic Regression,0.7350000000000001,0.7418019018249012,0.852,0.47573703497491804
llama-3.1-8b-instruct,syntactic,Syntactic,random_forest,Random Forest,0.805,0.8009464759623288,0.89375,0.6122278808956944
llama-3.1-8b-instruct,combined,Combined,logreg,Logistic Regression,0.755,0.7628561445824481,0.8608749999999998,0.5175296875557959
llama-3.1-8b-instruct,combined,Combined,random_forest,Random Forest,0.8275,0.8252326932326932,0.9065625,0.6572895885381758
llama-3.1-8b-instruct,writeprints,Writeprints,logreg,Logistic Regression,0.655,0.6723815749853406,0.6990000000000001,0.3147179227365472
llama-3.1-8b-instruct,writeprints,Writeprints,random_forest,Random Forest,0.6675000000000001,0.6526604180252094,0.7671875,0.3385960568934393
llama-3.1-8b-instruct,stylometrix,Stylometrix,logreg,Logistic Regression,0.615,0.6323651705199215,0.6851875,0.23857657262554924
llama-3.1-8b-instruct,stylometrix,Stylometrix,random_forest,Random Forest,0.585,0.5906720730250142,0.6248750000000001,0.17055520753152928
llama-3.1-8b-instruct,stanza,Stanza,logreg,Logistic Regression,0.6025,0.5984458443405811,0.63425,0.20777722631163092
llama-3.1-8b-instruct,stanza,Stanza,random_forest,Random Forest,0.5275000000000001,0.524943936976374,0.5365624999999999,0.056717545175740715
mistral-7b-instruct-v0.3,lexical,Lexical,logreg,Logistic Regression,0.62,0.6180326463521575,0.65575,0.2409575612313776
mistral-7b-instruct-v0.3,lexical,Lexical,random_forest,Random Forest,0.5725,0.5751073654389993,0.6116875,0.14664648992331558
mistral-7b-instruct-v0.3,syntactic,Syntactic,logreg,Logistic Regression,0.7625,0.7647649614086396,0.835625,0.5310943617053873
mistral-7b-instruct-v0.3,syntactic,Syntactic,random_forest,Random Forest,0.7675,0.7650566766563753,0.8309374999999999,0.5384076189462765
mistral-7b-instruct-v0.3,combined,Combined,logreg,Logistic Regression,0.7775000000000001,0.7758601750814641,0.8481249999999999,0.5610548346059735
mistral-7b-instruct-v0.3,combined,Combined,random_forest,Random Forest,0.7725,0.7718869365928189,0.8391249999999999,0.5482413909917477
mistral-7b-instruct-v0.3,writeprints,Writeprints,logreg,Logistic Regression,0.5425,0.5510565049101634,0.5630000000000001,0.0841147886111552
mistral-7b-instruct-v0.3,writeprints,Writeprints,random_forest,Random Forest,0.5475,0.5382952323027229,0.5689375,0.09643615943367562
mistral-7b-instruct-v0.3,stylometrix,Stylometrix,logreg,Logistic Regression,0.62,0.6494354176187971,0.690125,0.24838363611488906
mistral-7b-instruct-v0.3,stylometrix,Stylometrix,random_forest,Random Forest,0.55,0.5495211075962723,0.6115,0.10120463492520586
mistral-7b-instruct-v0.3,stanza,Stanza,logreg,Logistic Regression,0.55,0.5572894536103593,0.5738749999999999,0.10051063685707265
mistral-7b-instruct-v0.3,stanza,Stanza,random_forest,Random Forest,0.5,0.4951058417238192,0.517375,-0.0004574287454635007
qwen-2.5-7b-instruct,lexical,Lexical,logreg,Logistic Regression,0.675,0.6836650083251017,0.765875,0.3551266483766706
qwen-2.5-7b-instruct,lexical,Lexical,random_forest,Random Forest,0.6575,0.6632778321007378,0.7091875,0.3183282864453007
qwen-2.5-7b-instruct,syntactic,Syntactic,logreg,Logistic Regression,0.7424999999999999,0.7450378967128778,0.8057500000000001,0.4885559419699195
qwen-2.5-7b-instruct,syntactic,Syntactic,random_forest,Random Forest,0.75,0.7416209602666763,0.8499375,0.5064072874496884
qwen-2.5-7b-instruct,combined,Combined,logreg,Logistic Regression,0.7474999999999999,0.745269360712386,0.8488749999999999,0.5038052088112196
qwen-2.5-7b-instruct,combined,Combined,random_forest,Random Forest,0.7925,0.7833524988942946,0.8640625,0.5904767892308177
qwen-2.5-7b-instruct,writeprints,Writeprints,logreg,Logistic Regression,0.6599999999999999,0.6618397675131107,0.7146250000000001,0.3278641168428774
qwen-2.5-7b-instruct,writeprints,Writeprints,random_forest,Random Forest,0.64,0.6171359383588858,0.728,0.28954691862459747
qwen-2.5-7b-instruct,stylometrix,Stylometrix,logreg,Logistic Regression,0.6599999999999999,0.6766122355069506,0.752125,0.327992745794189
qwen-2.5-7b-instruct,stylometrix,Stylometrix,random_forest,Random Forest,0.6325000000000001,0.6311577308951644,0.6860000000000002,0.26749048629732186
qwen-2.5-7b-instruct,stanza,Stanza,logreg,Logistic Regression,0.6025,0.5798171504838171,0.63125,0.20656196799173485
qwen-2.5-7b-instruct,stanza,Stanza,random_forest,Random Forest,0.6075,0.608279836473159,0.6345625,0.21792805812938223
