accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std,task,target_model,feature_set,estimator,n_features,n_rows,n_classes
0.347,0.023366642891095843,0.3425100864962949,0.035757983205524056,0.347,0.023366642891095843,0.3332876737536778,0.02809378412207545,0.1869046916666565,0.029778177469269175,0.3332876737536778,0.02809378412207545,0.67961875,0.023543513570620636,multiclass,all,lexical,logreg,5,1000,5
0.318,0.021587033144922888,0.3196680673845149,0.021697777777249582,0.31799999999999995,0.021587033144922902,0.3160434881404245,0.020775966177886,0.14816366755587349,0.027131980541288316,0.3160434881404245,0.020775966177886,0.6334125,0.008094037157068142,multiclass,all,lexical,random_forest,5,1000,5
0.45899999999999996,0.010677078252031303,0.46331107536575794,0.017005895583603346,0.45899999999999996,0.010677078252031296,0.4536580947360817,0.015410500321883383,0.3262695403598289,0.012674971464034174,0.4536580947360817,0.015410500321883383,0.7758499999999999,0.00875230773139287,multiclass,all,syntactic,logreg,68,1000,5
0.512,0.015362291495737231,0.5136536819336925,0.02071260953492526,0.512,0.015362291495737219,0.5040382598429642,0.017233231869839247,0.3929389764694672,0.01928339095493872,0.5040382598429642,0.017233231869839247,0.8040062500000001,0.007753178531657222,multiclass,all,syntactic,random_forest,68,1000,5
0.4880000000000001,0.016000000000000014,0.494595647543993,0.02158329558877512,0.4880000000000001,0.016,0.48410326432319073,0.01903328097138623,0.3623877828012637,0.019423320511115193,0.48410326432319073,0.01903328097138623,0.8029437500000001,0.008498078827005557,multiclass,all,combined,logreg,73,1000,5
0.5389999999999999,0.02267156809750925,0.5432788809238766,0.026250365620064227,0.5389999999999999,0.02267156809750925,0.5378261308680463,0.024226556182838695,0.42505525284890916,0.02841750032995773,0.5378261308680463,0.024226556182838695,0.8208531249999999,0.008403191822902781,multiclass,all,combined,random_forest,73,1000,5
0.336,0.015297058540778351,0.33149394300835777,0.016832731220743403,0.33599999999999997,0.015297058540778348,0.32848022875275645,0.01646408557005921,0.17151689436745907,0.019409665435323433,0.32848022875275645,0.01646408557005921,0.66328125,0.006910957106291431,multiclass,all,writeprints,logreg,14,1000,5
0.316,0.02596150997149433,0.31685766940866206,0.023424651408583217,0.316,0.02596150997149432,0.3101922466401346,0.027607726275146658,0.1465206445255492,0.03202286029276704,0.3101922466401346,0.027607726275146658,0.659959375,0.017105293748391173,multiclass,all,writeprints,random_forest,14,1000,5
0.337,0.022045407685048594,0.3276280378868394,0.016487015660870134,0.337,0.022045407685048597,0.3106062716867707,0.018007958756272764,0.17804920602783864,0.029026616732385085,0.3106062716867707,0.018007958756272764,0.667075,0.012552959685866961,multiclass,all,stylometrix,logreg,3,1000,5
0.285,0.021213203435596423,0.2831708525205168,0.024041614282903523,0.28500000000000003,0.021213203435596448,0.2821385825666906,0.022918689967877624,0.10659619605531087,0.026501059837014732,0.2821385825666906,0.022918689967877624,0.594365625,0.018881677212975526,multiclass,all,stylometrix,random_forest,3,1000,5
0.25999999999999995,0.02408318915758459,0.25301202072552664,0.020907276222912958,0.25999999999999995,0.02408318915758458,0.24427797663616638,0.023505246810764744,0.07691707429441431,0.03096337783220302,0.24427797663616638,0.023505246810764744,0.5826375,0.012807294674325252,multiclass,all,stanza,logreg,4,1000,5
0.23499999999999996,0.008366600265340753,0.23561331409030065,0.009571491734606585,0.23500000000000001,0.008366600265340756,0.2334456259244527,0.008958601620310123,0.04391554262680447,0.01051376900173921,0.2334456259244527,0.008958601620310123,0.5408968749999999,0.0072123524140012725,multiclass,all,stanza,random_forest,4,1000,5
